0,1,2,3,4,5,6,7,8,9,10,11,12
"[23.0, 'H', 0.3775998600000001, -0.9088366400000005, -0.027117119999999773]","[24.0, 'H', 0.7544326499999983, 0.6318917899999974, 0.017459250000001703]","[172.0, 'O', -1.3271597799999988, 0.8353727199999987, -2.4433776199999997]","[173.0, 'H', -0.8639220900000026, 0.5048255799999986, -1.6382632899999976]","[190.0, 'O', -2.16572944, 0.4657753999999983, 1.783730300000002]","[191.0, 'H', -1.46906392, 0.24778262999999967, 1.1228029000000035]",,,,,,,
"[22.0, 'O', -0.3775998600000001, 0.9088366400000005, 0.027117119999999773]","[24.0, 'H', 0.37683278999999814, 1.540728429999998, 0.044576370000001475]","[173.0, 'H', -1.2415219500000028, 1.413662219999999, -1.6111461699999978]","[191.0, 'H', -1.84666378, 1.1566192700000002, 1.1499200200000033]",,,,,,,,,
"[22.0, 'O', -0.7544326499999983, -0.6318917899999974, -0.017459250000001703]","[23.0, 'H', -0.37683278999999814, -1.540728429999998, -0.044576370000001475]","[94.0, 'O', 0.8317543600000015, 1.993306350000001, 0.16730895999999973]","[95.0, 'H', 1.8005573500000018, 2.2044421100000022, 0.28636531000000076]","[96.0, 'H', 0.3798985600000009, 2.6514603500000007, 0.7488379499999986]","[137.0, 'H', 0.7599415200000017, 2.3347355400000005, -1.5049087700000001]","[173.0, 'H', -1.618354740000001, -0.12706620999999885, -1.6557225399999993]","[191.0, 'H', -2.2234965699999982, -0.38410915999999773, 1.1053436500000018]",,,,,
"[26.0, 'H', 0.11163584999999898, -0.6998280500000007, -0.7101018500000009]","[27.0, 'H', -0.9411690500000027, 0.2938508899999981, -0.0378928700000003]","[46.0, 'O', -2.7314952600000026, 0.643582219999999, -0.10221583000000223]","[47.0, 'H', -2.7649872300000027, 0.38872453999999834, -1.0570034600000007]","[49.0, 'O', 0.28132660999999715, 1.9635092899999975, 2.0705988699999978]","[50.0, 'H', 0.34068016999999884, 1.2338471099999992, 1.415435119999998]","[74.0, 'H', -1.1597004900000023, -0.1836657499999994, -2.6706715900000013]","[160.0, 'O', 0.28239357999999726, -1.7858216599999999, -2.062705870000002]",,,,,
"[25.0, 'O', -0.11163584999999898, 0.6998280500000007, 0.7101018500000009]","[27.0, 'H', -1.0528049000000017, 0.9936789399999988, 0.6722089800000006]","[50.0, 'H', 0.22904431999999986, 1.93367516, 2.125536969999999]","[74.0, 'H', -1.2713363400000013, 0.5161623000000013, -1.9605697400000004]","[160.0, 'O', 0.17075772999999828, -1.0859936099999992, -1.3526040200000011]","[161.0, 'H', -0.6067529200000017, -1.7091516400000017, -1.2384775999999995]","[162.0, 'H', 0.9499532699999982, -1.6142396900000016, -1.0231823999999996]",,,,,,
"[25.0, 'O', 0.9411690500000027, -0.2938508899999981, 0.0378928700000003]","[26.0, 'H', 1.0528049000000017, -0.9936789399999988, -0.6722089800000006]","[46.0, 'O', -1.79032621, 0.3497313300000009, -0.06432296000000193]","[47.0, 'H', -1.82381818, 0.09487365000000025, -1.0191105900000004]","[48.0, 'H', -2.488764749999998, 1.0486726600000011, 0.07084766999999914]","[49.0, 'O', 1.2224956599999999, 1.6696583999999994, 2.108491739999998]","[50.0, 'H', 1.2818492200000016, 0.9399962200000012, 1.4533279899999982]","[73.0, 'O', -1.1290907699999977, -0.1225029599999985, -2.6923484]","[74.0, 'H', -0.21853143999999958, -0.4775166399999975, -2.632778720000001]","[150.0, 'H', -1.904054519999999, -0.9326089199999998, 1.03048772]",,,
"[29.0, 'H', 0.3867626400000006, -0.4215661599999976, 0.8111668399999985]","[30.0, 'H', -0.9865992900000009, -0.09325533999999891, 0.06252130000000022]","[40.0, 'O', -2.7311768999999977, -0.1893132799999968, 0.1061830499999985]","[43.0, 'O', 0.8419087400000009, 2.35832538, -0.7406518200000001]","[44.0, 'H', 0.397253850000002, 1.4904546000000032, -0.4787658200000031]","[98.0, 'H', 1.8586396799999996, 0.1994808500000005, -1.1121278500000003]","[112.0, 'O', 1.0357924900000022, -1.2218046399999984, 2.2567709299999983]",,,,,,
"[28.0, 'O', -0.3867626400000006, 0.4215661599999976, -0.8111668399999985]","[30.0, 'H', -1.3733619300000015, 0.32831081999999867, -0.7486455399999983]","[44.0, 'H', 0.010491210000001416, 1.9120207600000008, -1.2899326600000016]","[98.0, 'H', 1.471877039999999, 0.6210470099999981, -1.9232946899999988]","[112.0, 'O', 0.6490298500000016, -0.8002384800000009, 1.4456040899999998]","[113.0, 'H', -0.011282120000000617, -1.527793250000002, 1.608766469999999]","[114.0, 'H', 1.5508044299999995, -1.1829492100000003, 1.6123431100000012]","[171.0, 'H', 1.146300870000001, 0.8365053699999976, 2.1481738399999983]",,,,,
"[21.0, 'H', -2.3781536699999997, 0.4256296699999993, -1.3700844100000005]","[28.0, 'O', 0.9865992900000009, 0.09325533999999891, -0.06252130000000022]","[29.0, 'H', 1.3733619300000015, -0.32831081999999867, 0.7486455399999983]","[40.0, 'O', -1.7445776099999968, -0.0960579399999979, 0.04366174999999828]","[41.0, 'H', -1.9407725499999984, -1.0614350399999992, 0.12309923999999839]","[42.0, 'H', -2.0235278999999977, 0.36838320000000024, 0.886829879999997]","[44.0, 'H', 1.383853140000003, 1.583709940000002, -0.5412871200000033]",,,,,,
"[32.0, 'H', -0.06899358000000078, -0.2930694900000006, -0.9387098199999997]","[33.0, 'H', -0.5746294899999995, -0.5930837100000019, 0.5192048199999988]","[53.0, 'H', -0.6584281700000005, -2.7695934400000013, 0.06738671000000096]","[79.0, 'O', 1.119155150000001, 2.5373839700000005, 0.09815567999999786]","[80.0, 'H', 0.7693414199999999, 1.6088342699999991, 0.15673688999999769]",,,,,,,,
"[31.0, 'O', 0.06899358000000078, 0.2930694900000006, 0.9387098199999997]","[33.0, 'H', -0.5056359099999987, -0.30001422000000133, 1.4579146399999985]","[52.0, 'O', -0.4010446899999991, -2.816898349999999, 0.09234934999999922]","[53.0, 'H', -0.5894345899999998, -2.4765239500000007, 1.0060965300000007]","[80.0, 'H', 0.8383350000000007, 1.9019037599999997, 1.0954467099999974]",,,,,,,,
