0,1,2,3,4,5,6,7,8,9,10,11,12
"[9.0, 'H', 0.3854152199999987, 0.4697042100000033, 2.8876735400000015]","[59.0, 'H', 0.7590999299999979, -0.3551207199999986, -2.3888293099999984]","[76.0, 'O', 1.2170090699999996, 2.351106660000003, -0.6488249899999978]","[77.0, 'H', 0.8970362099999996, 1.4497721000000006, -0.36653321000000005]","[78.0, 'H', 0.46337986999999714, 2.679516630000002, -1.2108873599999974]","[110.0, 'H', 0.3488982699999994, -0.9222144700000001, -0.08253910999999903]","[111.0, 'H', -0.9832311200000028, 0.009514820000003255, 0.038208470000000716]","[157.0, 'O', 1.3206790099999992, -2.3567676299999967, -0.5562452499999999]",,,,,
"[59.0, 'H', 0.41020165999999847, 0.5670937500000015, -2.3062901999999994]","[77.0, 'H', 0.5481379400000002, 2.3719865700000007, -0.283994100000001]","[109.0, 'O', -0.3488982699999994, 0.9222144700000001, 0.08253910999999903]","[111.0, 'H', -1.3321293900000022, 0.9317292900000034, 0.12074757999999974]","[128.0, 'H', -1.1634763800000023, -1.9764981999999982, 1.6993764399999982]","[157.0, 'O', 0.9717807399999998, -1.4345531599999966, -0.4737061400000009]","[158.0, 'H', 1.7968952399999978, -1.1020744299999983, -0.9045617099999994]","[159.0, 'H', 1.3026728799999994, -1.952957099999999, 0.3197089800000015]",,,,,
"[77.0, 'H', 1.8802673300000023, 1.4402572799999973, -0.40474168000000077]","[109.0, 'O', 0.9832311200000028, -0.009514820000003255, -0.038208470000000716]","[110.0, 'H', 1.3321293900000022, -0.9317292900000034, -0.12074757999999974]",,,,,,,,,,
"[28.0, 'O', -1.0357924900000022, 1.2218046399999984, -2.2567709299999983]","[29.0, 'H', -0.6490298500000016, 0.8002384800000009, -1.4456040899999998]","[113.0, 'H', -0.6603119700000022, -0.7275547700000011, 0.16316237999999927]","[114.0, 'H', 0.9017745799999979, -0.38271072999999944, 0.1667390200000014]","[169.0, 'O', 0.747311609999997, 2.5365446899999995, 1.031082340000001]","[171.0, 'H', 0.49727101999999945, 1.6367438499999984, 0.7025697499999985]",,,,,,,
"[29.0, 'H', 0.011282120000000617, 1.527793250000002, -1.608766469999999]","[112.0, 'O', 0.6603119700000022, 0.7275547700000011, -0.16316237999999927]","[114.0, 'H', 1.56208655, 0.3448440400000017, 0.0035766400000021292]","[171.0, 'H', 1.1575829900000016, 2.3642986199999996, 0.5394073699999993]",,,,,,,,,
"[29.0, 'H', -1.5508044299999995, 1.1829492100000003, -1.6123431100000012]","[112.0, 'O', -0.9017745799999979, 0.38271072999999944, -0.1667390200000014]","[113.0, 'H', -1.56208655, -0.3448440400000017, -0.0035766400000021292]","[171.0, 'H', -0.40450355999999843, 2.019454579999998, 0.5358307299999971]",,,,,,,,,
"[61.0, 'O', -2.3496303600000026, -0.10032873000000109, -1.4142983900000026]","[63.0, 'H', -1.4790195500000003, -0.14229315000000042, -0.9158727000000013]","[92.0, 'H', 0.7923671899999967, 2.69837081, 0.49050420999999744]","[116.0, 'H', 0.12433538999999882, -0.9204147999999996, 0.37331430000000054]","[117.0, 'H', -0.19556591000000267, 0.5715998999999989, 0.7880809899999974]","[169.0, 'O', 2.7310297399999968, 0.08588635999999994, -0.57552673]","[170.0, 'H', 1.8367072100000001, 0.4222388300000013, -0.3233128100000009]","[171.0, 'H', 2.480989149999999, -0.8139144800000011, -0.9040393200000025]","[172.0, 'O', -0.09674878999999947, 1.8699340800000002, 2.0684685499999986]",,,,
"[63.0, 'H', -1.6033549399999991, 0.7781216499999992, -1.2891870000000019]","[86.0, 'H', 1.9272077100000011, -1.2712068800000011, 1.29588897]","[115.0, 'O', -0.12433538999999882, 0.9204147999999996, -0.37331430000000054]","[117.0, 'H', -0.3199013000000015, 1.4920146999999986, 0.4147666899999969]","[169.0, 'O', 2.606694349999998, 1.0063011599999996, -0.9488410300000005]","[170.0, 'H', 1.7123718200000013, 1.342653630000001, -0.6966271100000014]","[171.0, 'H', 2.3566537600000004, 0.10650031999999854, -1.277353620000003]",,,,,,
"[63.0, 'H', -1.2834536399999976, -0.7138930499999994, -1.7039536899999987]","[92.0, 'H', 0.9879330999999993, 2.126770910000001, -0.29757678]","[115.0, 'O', 0.19556591000000267, -0.5715998999999989, -0.7880809899999974]","[116.0, 'H', 0.3199013000000015, -1.4920146999999986, -0.4147666899999969]","[170.0, 'H', 2.032273120000003, -0.14936106999999765, -1.1113937999999983]","[172.0, 'O', 0.0988171200000032, 1.2983341800000012, 1.2803875600000012]","[173.0, 'H', 0.5620548099999993, 0.967787040000001, 2.0855018900000033]","[174.0, 'H', -0.7551172199999989, 1.669363630000003, 1.6156059500000026]",,,,,
"[37.0, 'O', -1.4922760600000018, -2.3499443199999988, 0.5672358899999992]","[119.0, 'H', 0.42478626999999847, -0.15679038000000034, -0.8933935800000015]","[120.0, 'H', -0.5282425000000011, -0.8179570200000015, 0.20245205999999882]",,,,,,,,,,
"[118.0, 'O', -0.42478626999999847, 0.15679038000000034, 0.8933935800000015]","[120.0, 'H', -0.9530287699999995, -0.6611666400000011, 1.0958456400000003]","[125.0, 'H', 0.6132671400000014, -2.3799252399999986, -1.684075]",,,,,,,,,,
"[37.0, 'O', -0.9640335600000007, -1.5319872999999973, 0.36478383000000036]","[38.0, 'H', -1.0920307699999974, -1.9798468499999977, -0.5187147700000025]","[39.0, 'H', -0.5940864700000006, -2.262109089999999, 0.9228856199999989]","[118.0, 'O', 0.5282425000000011, 0.8179570200000015, -0.20245205999999882]","[119.0, 'H', 0.9530287699999995, 0.6611666400000011, -1.0958456400000003]",,,,,,,,
"[33.0, 'H', 0.7537675999999998, 1.6669291599999987, -1.0871749900000012]","[52.0, 'O', 0.8583588199999994, -0.8499549699999989, -2.4527402800000004]","[53.0, 'H', 0.6699689199999987, -0.5095805700000007, -1.538993099999999]","[55.0, 'O', -2.6271404400000016, -0.1902380000000008, 0.6545772700000008]","[58.0, 'O', 0.554596329999999, 1.7894031199999993, 2.1537039999999976]","[122.0, 'H', 0.3221152699999976, 0.47654989000000114, 0.8034624999999984]","[123.0, 'H', -0.9492813800000022, -0.21035030999999904, 0.23473824999999948]","[189.0, 'H', -1.8926752100000002, 1.4512334100000004, -0.892809500000002]",,,,,
"[33.0, 'H', 0.43165233000000214, 1.1903792699999975, -1.8906374899999996]","[53.0, 'H', 0.3478536500000011, -0.9861304600000018, -2.3424555999999974]","[58.0, 'O', 0.23248106000000135, 1.3128532299999982, 1.3502414999999992]","[59.0, 'H', -0.30977384999999913, 1.2371444499999988, 2.160454980000001]","[60.0, 'H', -0.17366144000000006, 2.093019599999998, 0.8689840000000011]","[71.0, 'H', 1.8021109900000027, 0.8679200199999997, 1.8960113599999993]","[121.0, 'O', -0.3221152699999976, -0.47654989000000114, -0.8034624999999984]","[123.0, 'H', -1.2713966499999998, -0.6869002000000002, -0.5687242499999989]","[189.0, 'H', -2.214790479999998, 0.9746835199999992, -1.6962720000000004]",,,,
"[33.0, 'H', 1.703048980000002, 1.8772794699999977, -1.3219132400000007]","[53.0, 'H', 1.619250300000001, -0.29923026000000164, -1.7737313499999985]","[55.0, 'O', -1.6778590599999994, 0.020112309999998246, 0.4198390200000013]","[56.0, 'H', -2.0534610099999995, -0.36274064000000195, 1.2507345799999996]","[57.0, 'H', -2.3980831999999985, -0.0537107600000013, -0.25992186999999944]","[121.0, 'O', 0.9492813800000022, 0.21035030999999904, -0.23473824999999948]","[122.0, 'H', 1.2713966499999998, 0.6869002000000002, 0.5687242499999989]","[189.0, 'H', -0.943393829999998, 1.6615837199999994, -1.1275477500000015]",,,,,
"[35.0, 'H', 1.08325842, -0.5421367600000018, -2.1092448200000007]","[103.0, 'O', -2.728992350000002, -0.19350153999999975, 0.4726696699999984]","[125.0, 'H', 0.1851444399999984, 0.9354060400000002, -0.23322972000000064]","[126.0, 'H', -0.9891959999999997, -0.04387914000000137, 0.11554617000000178]","[136.0, 'O', 0.09970436999999777, -2.82722034, -0.28448088000000027]","[138.0, 'H', 0.1946720899999974, -1.8484602199999998, -0.2692310400000011]",,,,,,,
"[35.0, 'H', 0.8981139800000015, -1.477542800000002, -1.8760151]","[119.0, 'H', -0.6132671400000014, 2.3799252399999986, 1.684075]","[124.0, 'O', -0.1851444399999984, -0.9354060400000002, 0.23322972000000064]","[126.0, 'H', -1.1743404399999982, -0.9792851800000015, 0.3487758900000024]","[138.0, 'H', 0.009527649999999, -2.78386626, -0.03600132000000045]",,,,,,,,
"[38.0, 'H', -1.4839862400000001, 0.7181969300000013, 1.9124299799999953]","[103.0, 'O', -1.7397963500000024, -0.14962239999999838, 0.3571234999999966]","[104.0, 'H', -2.247078270000003, -0.8880322899999982, 0.7907386899999977]","[105.0, 'H', -2.443991180000001, 0.4469149899999998, -0.00422156000000129]","[124.0, 'O', 0.9891959999999997, 0.04387914000000137, -0.11554617000000178]","[125.0, 'H', 1.1743404399999982, 0.9792851800000015, -0.3487758900000024]","[138.0, 'H', 1.1838680899999972, -1.8045810799999984, -0.38477721000000287]",,,,,,
"[128.0, 'H', 0.5976720499999999, 0.6772397900000016, -0.3607866200000025]","[129.0, 'H', 0.5753616600000022, -0.5255786899999997, 0.5886841300000007]",,,,,,,,,,,
"[110.0, 'H', 1.1634763800000023, 1.9764981999999982, -1.6993764399999982]","[127.0, 'O', -0.5976720499999999, -0.6772397900000016, 0.3607866200000025]","[129.0, 'H', -0.022310389999997682, -1.2028184800000012, 0.9494707500000032]","[159.0, 'H', 2.4661492600000017, 0.023541099999999204, -1.3796674599999967]",,,,,,,,,
"[108.0, 'H', 2.6977952700000003, 0.008119499999999391, -0.2725504100000009]","[127.0, 'O', -0.5753616600000022, 0.5255786899999997, -0.5886841300000007]","[128.0, 'H', 0.022310389999997682, 1.2028184800000012, -0.9494707500000032]",,,,,,,,,,
"[1.0, 'O', 1.518815889999999, 0.6581776400000017, -2.0718119799999997]","[131.0, 'H', 0.47807316999999827, 0.21832911999999993, -0.8474025800000007]","[132.0, 'H', 0.28290018999999944, 0.7526960100000011, 0.5835517299999999]",,,,,,,,,,
"[1.0, 'O', 1.0407427200000008, 0.43984852000000174, -1.224409399999999]","[2.0, 'H', 1.5274256900000012, -0.38620870999999823, -1.5341224199999992]","[3.0, 'H', 0.9830493900000015, 1.0554963700000002, -1.9750188400000006]","[130.0, 'O', -0.47807316999999827, -0.21832911999999993, 0.8474025800000007]","[132.0, 'H', -0.19517297999999883, 0.5343668900000011, 1.4309543100000006]",,,,,,,,
"[1.0, 'O', 1.2359156999999996, -0.09451836999999941, -2.6553637099999996]","[130.0, 'O', -0.28290018999999944, -0.7526960100000011, -0.5835517299999999]","[131.0, 'H', 0.19517297999999883, -0.5343668900000011, -1.4309543100000006]",,,,,,,,,,
"[134.0, 'H', -0.27324210000000093, 0.8608776999999996, 0.4322965500000002]","[135.0, 'H', 0.8531962600000007, -0.33398797999999985, 0.37505801000000005]",,,,,,,,,,,
"[133.0, 'O', 0.27324210000000093, -0.8608776999999996, -0.4322965500000002]","[135.0, 'H', 1.1264383600000016, -1.1948656799999995, -0.05723854000000017]","[192.0, 'H', 0.5254194699999992, 2.8441978699999986, 0.6829576599999996]",,,,,,,,,,
"[133.0, 'O', -0.8531962600000007, 0.33398797999999985, -0.37505801000000005]","[134.0, 'H', -1.1264383600000016, 1.1948656799999995, 0.05723854000000017]",,,,,,,,,,,
"[91.0, 'O', -1.6996848599999979, -0.7469161600000014, -1.970234399999999]","[93.0, 'H', -1.1001352400000002, -0.4495444400000004, -1.2270594899999985]","[94.0, 'O', -0.10900549999999853, -0.5698204500000017, 2.632426540000001]","[95.0, 'H', 0.8597974900000018, -0.3586846900000005, 2.751482890000002]","[124.0, 'O', -0.09970436999999777, 2.82722034, 0.28448088000000027]","[137.0, 'H', -0.1808183399999983, -0.2283912600000022, 0.960208810000001]","[138.0, 'H', 0.09496771999999964, 0.9787601200000005, 0.015249839999999182]",,,,,,
"[24.0, 'H', -0.7599415200000017, -2.3347355400000005, 1.5049087700000001]","[93.0, 'H', -0.9193169000000019, -0.22115317999999817, -2.1872682999999995]","[94.0, 'O', 0.07181283999999977, -0.3414291899999995, 1.6722177299999998]","[95.0, 'H', 1.0406158300000001, -0.13029342999999827, 1.7912740800000009]","[96.0, 'H', -0.3800429600000008, 0.3167248100000002, 2.2537467199999988]","[136.0, 'O', 0.1808183399999983, 0.2283912600000022, -0.960208810000001]","[138.0, 'H', 0.27578605999999795, 1.2071513800000027, -0.9449589700000018]",,,,,,
"[35.0, 'H', 0.8885863300000025, 1.306323459999998, -1.8400137799999996]","[93.0, 'H', -1.1951029599999998, -1.4283045600000008, -1.2423093299999977]","[124.0, 'O', -0.1946720899999974, 1.8484602199999998, 0.2692310400000011]","[125.0, 'H', -0.009527649999999, 2.78386626, 0.03600132000000045]","[126.0, 'H', -1.1838680899999972, 1.8045810799999984, 0.38477721000000287]","[136.0, 'O', -0.09496771999999964, -0.9787601200000005, -0.015249839999999182]","[137.0, 'H', -0.27578605999999795, -1.2071513800000027, 0.9449589700000018]",,,,,,
"[7.0, 'O', 0.5633169500000008, -2.7358499199999997, 0.3887678000000001]","[8.0, 'H', 0.5682056800000019, -1.7737945699999997, 0.173228739999999]","[10.0, 'O', 2.2598838000000008, 0.46704140000000294, -1.5063191700000012]","[11.0, 'H', 1.414765599999999, 0.41312963000000025, -0.9885185800000009]","[140.0, 'H', -0.2815300399999998, 0.4042317000000004, 0.8671176600000017]","[141.0, 'H', -0.7986666800000002, -0.039350559999999035, -0.5732244299999998]",,,,,,,
"[8.0, 'H', 0.8497357200000017, -2.17802627, -0.6938889200000027]","[11.0, 'H', 1.6962956399999989, 0.008897929999999832, -1.8556362400000026]","[139.0, 'O', 0.2815300399999998, -0.4042317000000004, -0.8671176600000017]","[141.0, 'H', -0.5171366400000004, -0.44358225999999945, -1.4403420900000015]",,,,,,,,,
"[8.0, 'H', 1.3668723600000021, -1.7344440100000007, 0.7464531699999988]","[11.0, 'H', 2.2134322799999993, 0.4524801899999993, -0.41529415000000114]","[139.0, 'O', 0.7986666800000002, 0.039350559999999035, 0.5732244299999998]","[140.0, 'H', 0.5171366400000004, 0.44358225999999945, 1.4403420900000015]",,,,,,,,,
"[67.0, 'O', 2.65176821, -1.1271823499999982, -0.6708884899999994]","[69.0, 'H', 1.9320608399999983, -1.0526629199999995, -1.332642749999998]","[143.0, 'H', 0.6726821299999983, 0.6086372600000018, 0.3934343200000008]","[144.0, 'H', -0.8368450200000019, 0.5102040599999995, -0.06616440999999895]","[157.0, 'O', 1.7071482600000003, 1.877545180000002, 1.22248583]",,,,,,,,
"[67.0, 'O', 1.9790860800000019, -1.73581961, -1.0643228100000002]","[69.0, 'H', 1.25937871, -1.6613001800000013, -1.7260770699999988]","[142.0, 'O', -0.6726821299999983, -0.6086372600000018, -0.3934343200000008]","[144.0, 'H', -1.5095271500000003, -0.09843320000000233, -0.45959872999999973]","[157.0, 'O', 1.034466130000002, 1.2689079200000002, 0.8290515099999993]","[158.0, 'H', 1.85958063, 1.6013866499999985, 0.3981959400000008]","[159.0, 'H', 1.3653582700000015, 0.7505039799999977, 1.6224666300000017]",,,,,,
"[56.0, 'H', -1.0326696099999992, 1.0822027399999996, -2.0223784699999996]","[142.0, 'O', 0.8368450200000019, -0.5102040599999995, 0.06616440999999895]","[143.0, 'H', 1.5095271500000003, 0.09843320000000233, 0.45959872999999973]",,,,,,,,,,
"[5.0, 'H', -0.5293237400000024, 0.3876030900000025, -2.472187080000001]","[70.0, 'O', -1.5996954199999998, -1.9834655199999993, -0.9363818399999992]","[72.0, 'H', -0.9329250000000009, -1.3013205199999973, -0.6541836500000002]","[91.0, 'O', 2.73131038, -0.8419547499999993, -0.45893455999999944]","[92.0, 'H', 2.297758929999997, -1.6262477299999993, -0.06238379000000194]","[146.0, 'H', -0.32458545000000427, 0.9554957799999997, -0.0026845400000006236]","[147.0, 'H', 0.9794906399999981, -0.01896812999999753, -0.1098340300000018]","[148.0, 'O', -1.2272009800000028, 2.3374291300000003, 0.10653223999999994]","[149.0, 'H', -2.1668105900000008, 2.05276658, 0.20173223000000107]","[174.0, 'H', 0.5547086099999987, -2.0836550099999975, 1.8507989400000007]","[175.0, 'O', -1.1201892000000022, -1.1332799099999988, 2.3623036999999982]","[177.0, 'H', -1.0113959900000005, -0.7549220899999973, 1.4614986300000012]",
"[5.0, 'H', -0.2047382899999981, -0.5678926899999972, -2.4695025400000006]","[72.0, 'H', -0.6083395499999966, -2.256816299999997, -0.6514991099999996]","[145.0, 'O', 0.32458545000000427, -0.9554957799999997, 0.0026845400000006236]","[147.0, 'H', 1.3040760900000024, -0.9744639099999972, -0.10714949000000118]","[148.0, 'O', -0.9026155299999985, 1.3819333500000006, 0.10921678000000057]","[149.0, 'H', -1.8422251399999965, 1.0972708000000004, 0.2044167700000017]","[150.0, 'H', -0.9104307199999973, 2.0818902500000007, -0.5960928999999986]","[177.0, 'H', -0.6868105399999962, -1.710417869999997, 1.4641831700000019]",,,,,
"[5.0, 'H', -1.5088143800000005, 0.40657122, -2.3623530499999994]","[72.0, 'H', -1.912415639999999, -1.2823523899999998, -0.5443496199999984]","[91.0, 'O', 1.751819740000002, -0.8229866200000018, -0.34910052999999763]","[92.0, 'H', 1.318268289999999, -1.6072796000000018, 0.047450239999999866]","[93.0, 'H', 2.3513693599999996, -0.5256149000000008, 0.39407438000000283]","[145.0, 'O', -0.9794906399999981, 0.01896812999999753, 0.1098340300000018]","[146.0, 'H', -1.3040760900000024, 0.9744639099999972, 0.10714949000000118]","[172.0, 'O', 0.42915231000000276, -2.4357163300000018, 1.625414580000001]","[174.0, 'H', -0.42478202999999937, -2.06468688, 1.9606329700000025]","[177.0, 'H', -1.9908866299999985, -0.7359539599999998, 1.571332660000003]",,,
"[46.0, 'O', 0.1059131200000003, 1.9822971500000008, -1.800120360000001]","[76.0, 'O', -2.7218885299999975, -0.738660969999998, 0.46958661000000035]","[105.0, 'H', 2.125304670000002, 0.7977884700000004, 1.8005730900000003]","[145.0, 'O', 1.2272009800000028, -2.3374291300000003, -0.10653223999999994]","[146.0, 'H', 0.9026155299999985, -1.3819333500000006, -0.10921678000000057]","[149.0, 'H', -0.939609609999998, -0.2846625500000002, 0.09519999000000112]","[150.0, 'H', -0.00781518999999875, 0.6999569000000001, -0.7053096799999992]","[183.0, 'H', 0.23007729000000054, 2.49637435, 1.4018656500000013]",,,,,
"[12.0, 'H', -1.7497599699999995, 0.6087547200000003, 1.7272259999999982]","[76.0, 'O', -1.7822789199999995, -0.4539984199999978, 0.3743866199999992]","[77.0, 'H', -2.1022517799999996, -1.35533298, 0.656678399999997]","[78.0, 'H', -2.535908120000002, -0.12558844999999863, -0.18767575000000036]","[145.0, 'O', 2.1668105900000008, -2.05276658, -0.20173223000000107]","[146.0, 'H', 1.8422251399999965, -1.0972708000000004, -0.2044167700000017]","[148.0, 'O', 0.939609609999998, 0.2846625500000002, -0.09519999000000112]","[150.0, 'H', 0.9317944199999992, 0.9846194500000003, -0.8005096700000003]",,,,,
"[27.0, 'H', 1.904054519999999, 0.9326089199999998, -1.03048772]","[46.0, 'O', 0.11372830999999906, 1.2823402500000007, -1.094810680000002]","[47.0, 'H', 0.08023633999999902, 1.02748257, -2.0495983100000004]","[48.0, 'H', -0.5847102299999989, 1.981281580000001, -0.9596400500000009]","[146.0, 'H', 0.9104307199999973, -2.0818902500000007, 0.5960928999999986]","[148.0, 'O', 0.00781518999999875, -0.6999569000000001, 0.7053096799999992]","[149.0, 'H', -0.9317944199999992, -0.9846194500000003, 0.8005096700000003]","[183.0, 'H', 0.2378924799999993, 1.7964174499999999, 2.1071753300000005]",,,,,
"[52.0, 'O', 1.4344682300000002, 2.1704759399999993, 0.28279301999999973]","[54.0, 'H', 0.8745492400000003, 1.3550282299999985, 0.21288260000000037]","[152.0, 'H', -0.9551339700000021, 0.08941856999999942, 0.31315112999999783]","[153.0, 'H', 0.16738236000000128, -0.9540396000000015, -0.08816050000000075]",,,,,,,,,
"[54.0, 'H', 1.8296832100000024, 1.265609659999999, -0.10026852999999747]","[151.0, 'O', 0.9551339700000021, -0.08941856999999942, -0.31315112999999783]","[153.0, 'H', 1.1225163300000034, -1.043458170000001, -0.4013116299999986]",,,,,,,,,,
"[54.0, 'H', 0.707166879999999, 2.30906783, 0.3010431000000011]","[151.0, 'O', -0.16738236000000128, 0.9540396000000015, 0.08816050000000075]","[152.0, 'H', -1.1225163300000034, 1.043458170000001, 0.4013116299999986]",,,,,,,,,,
"[10.0, 'O', -2.0618937200000005, 0.3875074500000011, -1.6995560900000015]","[155.0, 'H', -0.7508174500000031, 0.1250925099999982, -0.6469574300000005]","[156.0, 'H', 0.46600919999999846, 0.8811748399999999, 0.10046458000000058]","[178.0, 'O', 1.7049927899999986, -2.05276306, -0.56642832]","[179.0, 'H', 1.0637868200000007, -1.3094488099999992, -0.37849780999999894]",,,,,,,,
"[10.0, 'O', -1.3110762699999974, 0.26241494000000287, -1.052598660000001]","[11.0, 'H', -2.156194469999999, 0.20850317000000018, -0.5347980700000008]","[12.0, 'H', -1.3729801099999968, -0.4545235699999992, -1.7574722999999999]","[17.0, 'H', -0.7627739799999986, 1.6141190900000026, -1.99768422]","[154.0, 'O', 0.7508174500000031, -0.1250925099999982, 0.6469574300000005]","[156.0, 'H', 1.2168266500000016, 0.7560823300000017, 0.7474220100000011]","[179.0, 'H', 1.8146042700000038, -1.4345413199999975, 0.26845962000000156]",,,,,,
"[154.0, 'O', -0.46600919999999846, -0.8811748399999999, -0.10046458000000058]","[155.0, 'H', -1.2168266500000016, -0.7560823300000017, -0.7474220100000011]","[179.0, 'H', 0.5977776200000022, -2.190623649999999, -0.4789623899999995]","[181.0, 'O', 1.23631696, 0.8318172600000011, -2.5461387]","[182.0, 'H', 1.15353554, 1.152174800000001, -1.6053249600000008]",,,,,,,,
"[59.0, 'H', -0.5615790800000013, 2.001646909999998, -1.8325840599999985]","[70.0, 'O', 2.245724150000001, 1.1256406099999978, -1.6050804299999974]","[106.0, 'O', 0.9317907000000005, -1.5895112800000035, 1.9751243600000024]","[109.0, 'O', -1.3206790099999992, 2.3567676299999967, 0.5562452499999999]","[110.0, 'H', -0.9717807399999998, 1.4345531599999966, 0.4737061400000009]","[142.0, 'O', -1.7071482600000003, -1.877545180000002, -1.22248583]","[143.0, 'H', -1.034466130000002, -1.2689079200000002, -0.8290515099999993]","[158.0, 'H', 0.825114499999998, 0.3324787299999983, -0.4308555699999985]","[159.0, 'H', 0.33089213999999956, -0.5184039400000025, 0.7934151200000024]",,,,
"[58.0, 'O', -0.8444386699999988, 1.7448769599999991, -2.2119419700000016]","[59.0, 'H', -1.3866935799999993, 1.6691681799999998, -1.40172849]","[62.0, 'H', 1.902443230000003, -0.7045107599999945, -2.0332782400000013]","[70.0, 'O', 1.420609650000003, 0.7931618799999995, -1.174224859999999]","[71.0, 'H', 0.7251912600000026, 1.2999437500000006, -1.6661721100000015]","[72.0, 'H', 2.087380070000002, 1.4753068800000015, -0.8920266699999999]","[110.0, 'H', -1.7968952399999978, 1.1020744299999983, 0.9045617099999994]","[143.0, 'H', -1.85958063, -1.6013866499999985, -0.3981959400000008]","[157.0, 'O', -0.825114499999998, -0.3324787299999983, 0.4308555699999985]","[159.0, 'H', -0.4942223599999984, -0.8508826700000007, 1.2242706900000009]",,,
"[15.0, 'H', 0.8845669799999953, 2.155602730000002, 1.852273099999998]","[106.0, 'O', 0.600898560000001, -1.071107340000001, 1.18170924]","[107.0, 'H', 0.6597072600000011, -1.9740555299999976, 0.7454926200000003]","[108.0, 'H', 0.20933562000000094, -1.218240080000001, 2.056587799999999]","[110.0, 'H', -1.3026728799999994, 1.952957099999999, -0.3197089800000015]","[128.0, 'H', -2.4661492600000017, -0.023541099999999204, 1.3796674599999967]","[143.0, 'H', -1.3653582700000015, -0.7505039799999977, -1.6224666300000017]","[157.0, 'O', -0.33089213999999956, 0.5184039400000025, -0.7934151200000024]","[158.0, 'H', 0.4942223599999984, 0.8508826700000007, -1.2242706900000009]",,,,
"[4.0, 'O', -2.077523969999998, -1.6156231700000028, 0.2774173900000001]","[25.0, 'O', -0.28239357999999726, 1.7858216599999999, 2.062705870000002]","[26.0, 'H', -0.17075772999999828, 1.0859936099999992, 1.3526040200000011]","[64.0, 'O', 2.061108820000001, -1.522923930000001, 1.0235482100000013]","[74.0, 'H', -1.4420940699999996, 1.6021559100000005, -0.6079657199999993]","[161.0, 'H', -0.77751065, -0.6231580300000026, 0.11412642000000162]","[162.0, 'H', 0.7791955399999999, -0.5282460800000024, 0.3294216200000015]","[167.0, 'H', 0.3497444999999999, -1.0592996400000025, -2.6913760300000007]","[168.0, 'H', 1.5582109400000022, -0.3056785099999999, -2.0754032199999983]",,,,
"[4.0, 'O', -1.300013319999998, -0.9924651400000002, 0.16329096999999848]","[5.0, 'H', -1.6444140699999998, -0.8795612799999972, 1.0677646599999981]","[6.0, 'H', -0.8546471899999979, -1.8918837899999978, 0.16599322000000072]","[26.0, 'H', 0.6067529200000017, 1.7091516400000017, 1.2384775999999995]","[74.0, 'H', -0.6645834199999996, 2.225313940000003, -0.7220921400000009]","[160.0, 'O', 0.77751065, 0.6231580300000026, -0.11412642000000162]","[162.0, 'H', 1.5567061899999999, 0.09491195000000019, 0.2152951999999999]","[185.0, 'H', -0.8773777199999984, -1.1796299999999995, -2.0292585500000015]",,,,,
"[26.0, 'H', -0.9499532699999982, 1.6142396900000016, 1.0231823999999996]","[64.0, 'O', 1.2819132800000013, -0.9946778499999986, 0.6941265899999998]","[65.0, 'H', 0.8553804700000001, -1.55563055, 1.3941630499999995]","[66.0, 'H', 1.6698993800000004, -1.6321649299999983, 0.06631279999999862]","[160.0, 'O', -0.7791955399999999, 0.5282460800000024, -0.3294216200000015]","[161.0, 'H', -1.5567061899999999, -0.09491195000000019, -0.2152951999999999]","[168.0, 'H', 0.7790154000000022, 0.2225675700000025, -2.40482484]",,,,,,
"[58.0, 'O', 1.3950332299999992, -1.97706157, 1.3031161499999975]","[60.0, 'H', 0.9888907299999978, -1.1968952000000002, 0.8218586499999994]","[100.0, 'O', 1.487834539999998, 2.3382565500000005, -0.8513446699999996]","[102.0, 'H', 0.9658901499999999, 1.575147010000002, -0.500935290000001]","[164.0, 'H', -0.5248117500000014, -0.44649433000000016, -0.7219934000000023]","[165.0, 'H', -0.6432415700000007, 0.31184800000000124, 0.6779216499999983]","[187.0, 'O', -1.3162869199999996, -1.4082072799999992, -1.9807728000000004]",,,,,,
"[33.0, 'H', 2.1190162500000014, -1.6530412000000005, -1.215769439999999]","[60.0, 'H', 1.5137024799999992, -0.75040087, 1.5438520500000017]","[102.0, 'H', 1.4907019000000012, 2.021641340000002, 0.2210581100000013]","[163.0, 'O', 0.5248117500000014, 0.44649433000000016, 0.7219934000000023]","[165.0, 'H', -0.11842981999999935, 0.7583423300000014, 1.3999150500000006]","[187.0, 'O', -0.7914751699999982, -0.961712949999999, -1.258779399999998]","[188.0, 'H', -0.3291157300000016, -0.761219999999998, -2.1102454199999983]","[189.0, 'H', -0.5274265599999985, -1.8687369499999988, -1.0214039499999998]",,,,,
"[60.0, 'H', 1.6321322999999985, -1.5087432000000014, 0.1439370000000011]","[78.0, 'H', 1.2002998299999987, 0.6700189999999999, 2.613349930000002]","[102.0, 'H', 1.6091317200000006, 1.2632990100000008, -1.1788569399999993]","[163.0, 'O', 0.6432415700000007, -0.31184800000000124, -0.6779216499999983]","[164.0, 'H', 0.11842981999999935, -0.7583423300000014, -1.3999150500000006]",,,,,,,,
